Episode,Rewards, QoS violation, Action type
550,283.63178,0.01751,2
551,284.61432,0.01746,0
552,284.59681,0.01751,0
553,284.57923,0.01758,0
554,284.56161,0.01762,0
555,284.54391,0.0177,0
556,284.52619,0.01772,0
557,284.50841,0.01778,0
558,284.49055,0.01786,0
559,284.47263,0.01792,0
560,284.45464,0.01799,0
561,284.43662,0.01802,0
562,284.41857,0.01805,0
563,284.40044,0.01813,0
564,284.38226,0.01818,0
565,284.36403,0.01823,0
566,284.34576,0.01827,0
567,284.32743,0.01833,2
568,285.30915,0.01828,0
569,285.29081,0.01834,0
570,285.2724,0.01841,0
571,285.25393,0.01847,0
572,285.23538,0.01855,5
573,286.21684,0.01854,0
574,286.19821,0.01863,2
575,287.17966,0.01855,0
576,287.16102,0.01864,2
577,288.14247,0.01855,0
578,288.12383,0.01864,0
579,288.10511,0.01872,0
580,288.08634,0.01877,0
581,288.06753,0.01881,0
582,288.04864,0.01889,0
583,288.02968,0.01896,0
584,288.01066,0.01902,0
585,287.99159,0.01907,0
586,287.97244,0.01915,5
587,288.95329,0.01915,5
588,289.93415,0.01914,5
589,290.91501,0.01914,0
590,290.89582,0.01919,0
591,290.87653,0.01929,5
592,291.85724,0.01929,5
593,292.83797,0.01927,0
594,292.81868,0.01929,0
595,292.79932,0.01936,0
596,292.77992,0.0194,4
597,293.76056,0.01936,5
598,294.74121,0.01935,5
599,295.72186,0.01935,5
600,296.70254,0.01932,5
601,297.68324,0.0193,5
602,298.66394,0.0193,5
603,299.64465,0.01929,5
604,300.62537,0.01928,5
605,301.60609,0.01928,5
606,302.58684,0.01925,5
607,303.5676,0.01924,5
608,304.54841,0.01919,5
609,305.52923,0.01918,2
610,306.51011,0.01912,2
611,306.49096,0.01915,2
612,307.4719,0.01906,3
613,307.45275,0.01915,0
614,307.43358,0.01917,0
615,307.41434,0.01924,5
616,308.39515,0.01919,5
617,309.37597,0.01918,5
618,310.35679,0.01918,5
619,311.33765,0.01914,5
620,312.31852,0.01913,5
621,313.29939,0.01913,4
622,314.28033,0.01906,2
623,315.26129,0.01904,2
624,316.24234,0.01895,2
625,317.2234,0.01894,2
626,318.20454,0.01886,2
627,319.18572,0.01882,2
628,320.16692,0.0188,2
629,321.14818,0.01874,2
630,322.12949,0.01869,2
631,323.11083,0.01866,2
632,324.09221,0.01862,2
633,325.07365,0.01856,2
634,326.05518,0.01847,2
635,327.03678,0.0184,2
636,328.01842,0.01836,2
637,329.00011,0.01831,2
638,329.98186,0.01825,2
639,330.96364,0.01822,2
640,331.94546,0.01818,2
641,332.92733,0.01813,0
642,332.90915,0.01818,0
643,332.89092,0.01823,0
644,332.87265,0.01827,0
645,332.85432,0.01833,2
646,333.83604,0.01828,2
647,334.8178,0.01824,2
648,335.79961,0.01819,2
649,336.78145,0.01816,2
650,337.76336,0.01809,2
651,338.74527,0.01809,2
652,339.7272,0.01807,4
653,340.70919,0.01801,0
654,340.69112,0.01807,0
655,340.67302,0.0181,0
656,340.65489,0.01813,0
657,340.63668,0.01821,0
658,340.61842,0.01826,2
659,341.6002,0.01822,2
660,342.58205,0.01815,2
661,343.56392,0.01813,2
662,344.54582,0.0181,2
663,345.52777,0.01805,2
664,346.50977,0.018,2
665,347.49184,0.01793,0
666,347.47383,0.01801,0
667,347.45576,0.01807,0
668,347.43762,0.01814,3
669,347.41946,0.01816,0
670,347.40127,0.01819,2
671,348.3831,0.01817,2
672,349.36495,0.01815,2
673,350.34687,0.01808,2
674,351.32884,0.01803,4
675,352.31089,0.01795,2
676,353.29299,0.0179,5
677,354.2751,0.01789,0
678,354.25715,0.01795,0
679,354.23912,0.01803,1
680,354.22108,0.01804,2
681,355.20312,0.01796,2
682,356.18522,0.0179,2
683,357.16733,0.01789,2
684,358.1495,0.01783,0
685,358.13159,0.01791,0
686,358.11365,0.01794,0
687,358.09565,0.018,0
688,358.07757,0.01808,0
689,358.05943,0.01814,0
