, Rewards, QoS violation,,
Episode: 211 ,-47,0.01548, Action type: [0, 1] 
Episode: 212 ,-48,0.01558, Action type: [0, 1] 
Episode: 213 ,-49,0.01565, Action type: [1, 2] 
Episode: 214 ,-48,0.01558, Action type: [1, 0] 
Episode: 215 ,-47,0.01548, Action type: [1, 0] 
Episode: 216 ,-46,0.01545, Action type: [1, 0] 
Episode: 217 ,-45,0.01541, Action type: [0, 1] 
Episode: 218 ,-46,0.01545, Action type: [0, 1] 
Episode: 219 ,-47,0.01548, Action type: [0, 1] 
Episode: 220 ,-48,0.01558, Action type: [0, 1] 
Episode: 221 ,-49,0.01565, Action type: [1, 2] 
Episode: 222 ,-48,0.01558, Action type: [1, 0] 
Episode: 223 ,-47,0.01548, Action type: [1, 0] 
Episode: 224 ,-46,0.01545, Action type: [2, 1] 
Episode: 225 ,-47,0.01548, Action type: [2, 1] 
Episode: 226 ,-48,0.01558, Action type: [2, 1] 
Episode: 227 ,-49,0.01563, Action type: [0, 1] 
Episode: 228 ,-50,0.01569, Action type: [0, 2] 
Episode: 229 ,-51,0.01571, Action type: [1, 2] 
Episode: 230 ,-50,0.01565, Action type: [1, 0] 
Episode: 231 ,-49,0.01558, Action type: [1, 0] 
Episode: 232 ,-48,0.01548, Action type: [2, 1] 
Episode: 233 ,-49,0.01558, Action type: [0, 1] 
Episode: 234 ,-50,0.01565, Action type: [0, 1] 
Episode: 235 ,-51,0.01571, Action type: [0, 2] 
Episode: 236 ,-52,0.01571, Action type: [1, 2] 
Episode: 237 ,-51,0.01565, Action type: [1, 0] 
Episode: 238 ,-50,0.01558, Action type: [1, 0] 
Episode: 239 ,-49,0.01548, Action type: [2, 1] 
Episode: 240 ,-50,0.01558, Action type: [0, 1] 
Episode: 241 ,-51,0.01563, Action type: [0, 1] 
Episode: 242 ,-52,0.01571, Action type: [0, 1] 
Episode: 243 ,-53,0.01575, Action type: [2, 0] 
Episode: 244 ,-54,0.01575, Action type: [1, 0] 
Episode: 245 ,-53,0.01571, Action type: [1, 0] 
Episode: 246 ,-52,0.01563, Action type: [1, 2] 
Episode: 247 ,-51,0.01558, Action type: [1, 2] 
Episode: 248 ,-50,0.01548, Action type: [2 0] ,
Episode: 249 ,-51,0.01548, Action type: [2, 1] 
Episode: 250 ,-52,0.01558, Action type: [2, 1] 
Episode: 251 ,-53,0.01561, Action type: [0, 1] 
Episode: 252 ,-54,0.01569, Action type: [1, 2] 
Episode: 253 ,-53,0.01563, Action type: [1, 2] 
Episode: 254 ,-52,0.01558, Action type: [0 1] ,
Episode: 255 ,-53,0.01563, Action type: [2, 0] 
Episode: 256 ,-54,0.01563, Action type: [0, 1] 
Episode: 257 ,-55,0.01571, Action type: [0, 1] 
Episode: 258 ,-56,0.01575, Action type: [0, 2] 
Episode: 259 ,-57,0.01575, Action type: [2 1] ,
Episode: 260 ,-58,0.01577, Action type: [1, 0] 
Episode: 261 ,-57,0.01575, Action type: [2, 0] 
Episode: 262 ,-56,0.01573, Action type: [2, 0] 
Episode: 263 ,-57,0.01573, Action type: [0, 1] 
Episode: 264 ,-58,0.01575, Action type: [0, 2] 
Episode: 265 ,-59,0.01575, Action type: [1, 2] 
Episode: 266 ,-60,0.01575, Action type: [1, 0] 
Episode: 267 ,-59,0.01571, Action type: [1, 0] 
Episode: 268 ,-58,0.01563, Action type: [2, 0] 
Episode: 269 ,-57,0.01561, Action type: [0, 1] 
Episode: 270 ,-58,0.01569, Action type: [0, 1] 
Episode: 271 ,-59,0.01573, Action type: [0, 1] 
Episode: 272 ,-60,0.01575, Action type: [2, 0] 
Episode: 273 ,-61,0.01575, Action type: [1, 0] 
Episode: 274 ,-60,0.01573, Action type: [1, 2] 
Episode: 275 ,-59,0.01569, Action type: [0, 2] 
Episode: 276 ,-60,0.01571, Action type: [2 2] ,
Episode: 277 ,-61,0.01571, Action type: [2, 0] 
Episode: 278 ,-60,0.01569, Action type: [2, 0] 
Episode: 279 ,-61,0.01569, Action type: [0, 1] 
Episode: 280 ,-62,0.01573, Action type: [2 1] ,
Episode: 281 ,-63,0.01575, Action type: [0, 2] 
Episode: 282 ,-64,0.01575, Action type: [1, 2] 
Episode: 283 ,-63,0.01573, Action type: [1, 0] 
Episode: 284 ,-62,0.01569, Action type: [2, 0] 
Episode: 285 ,-63,0.01569, Action type: [0, 1] 
Episode: 286 ,-64,0.01573, Action type: [0, 1] 
Episode: 287 ,-65,0.01575, Action type: [0, 1] 
Episode: 288 ,-66,0.01578, Action type: [1, 0] 
Episode: 289 ,-65,0.01575, Action type: [1, 0] 
Episode: 290 ,-64,0.01573, Action type: [1, 0] 
Episode: 291 ,-63,0.01569, Action type: [0, 2] 
Episode: 292 ,-64,0.01569, Action type: [0, 1] 
Episode: 293 ,-65,0.01573, Action type: [0, 1] 
Episode: 294 ,-66,0.01575, Action type: [2, 1] 
Episode: 295 ,-67,0.01578, Action type: [1 1] ,
Episode: 296 ,-68,0.01578, Action type: [0 1] ,
Episode: 297 ,-69,0.01582, Action type: [1, 2] 
Episode: 298 ,-68,0.01578, Action type: [0, 2] 
Episode: 299 ,-69,0.0158, Action type: [0, 1] 
Episode: 300 ,-70,0.01584, Action type: [2, 1] 
Episode: 301 ,-71,0.01591, Action type: [2, 1] 
Episode: 302 ,-72,0.01596, Action type: [0, 1] 
Episode: 303 ,-73,0.01601, Action type: [0, 1] 
Episode: 304 ,-74,0.01607, Action type: [0, 1] 
Episode: 305 ,-75,0.01611, Action type: [0, 1] 
Episode: 306 ,-76,0.01614, Action type: [1, 0] 
Episode: 307 ,-75,0.01611, Action type: [1, 0] 
Episode: 308 ,-74,0.01607, Action type: [1, 0] 
Episode: 309 ,-73,0.01601, Action type: [0, 1] 
Episode: 310 ,-74,0.01607, Action type: [0, 1] 
Episode: 311 ,-75,0.01611, Action type: [0, 1] 
Episode: 312 ,-76,0.01614, Action type: [2, 0] 
Episode: 313 ,-77,0.01614, Action type: [2, 0] 
Episode: 314 ,-76,0.01612, Action type: [0 0] ,
Episode: 315 ,-77,0.01612, Action type: [1, 2] 
Episode: 316 ,-76,0.01611, Action type: [0, 2] 
Episode: 317 ,-77,0.01611, Action type: [0, 2] 
Episode: 318 ,-78,0.01611, Action type: [0, 2] 
Episode: 319 ,-79,0.01613, Action type: [1, 0] 
Episode: 320 ,-78,0.01609, Action type: [2 2] ,
Episode: 321 ,-79,0.01609, Action type: [1, 0] 
Episode: 322 ,-78,0.01603, Action type: [1 2] ,
Episode: 323 ,-77,0.01598, Action type: [0, 1] 
Episode: 324 ,-78,0.01603, Action type: [0, 1] 
Episode: 325 ,-79,0.01609, Action type: [0, 2] 
Episode: 326 ,-80,0.01609, Action type: [1, 2] 
Episode: 327 ,-79,0.01604, Action type: [1, 2] 
Episode: 328 ,-78,0.016, Action type: [2, 0] 
Episode: 329 ,-77,0.01599, Action type: [2, 0] 
Episode: 330 ,-76,0.01598, Action type: [2 1] ,
Episode: 331 ,-77,0.01603, Action type: [0, 2] 
Episode: 332 ,-78,0.01603, Action type: [0, 2] 
Episode: 333 ,-79,0.01604, Action type: [0, 2] 
