, Rewards,QoS violation,,
Episode: 361 ,203.2238,0.01571, Action type: [0, 1] 
Episode: 362 ,203.20805,0.01575, Action type: [0, 1] 
Episode: 363 ,203.19221,0.01584, Action type: [0, 2] 
Episode: 364 ,204.17637,0.01584, Action type: [1, 2] 
Episode: 365 ,205.16062,0.01575, Action type: [1, 2] 
Episode: 366 ,206.14489,0.01573, Action type: [1, 2] 
Episode: 367 ,207.12918,0.01571, Action type: [1, 0] 
Episode: 368 ,208.1135,0.01568, Action type: [1, 0] 
Episode: 369 ,209.09786,0.01564, Action type: [2, 0] 
Episode: 370 ,210.08223,0.01563, Action type: [2, 1] 
Episode: 371 ,210.06657,0.01566, Action type: [2, 1] 
Episode: 372 ,210.05089,0.01568, Action type: [2, 1] 
Episode: 373 ,210.03518,0.01571, Action type: [2, 1] 
Episode: 374 ,210.01944,0.01574, Action type: [0, 1] 
Episode: 375 ,210.0036,0.01584, Action type: [1, 0] 
Episode: 376 ,210.98786,0.01574, Action type: [1, 2] 
Episode: 377 ,211.97215,0.01571, Action type: [1, 2] 
Episode: 378 ,212.95648,0.01567, Action type: [1, 0] 
Episode: 379 ,213.94083,0.01565, Action type: [2, 0] 
Episode: 380 ,214.92518,0.01565, Action type: [2, 1] 
Episode: 381 ,214.90951,0.01567, Action type: [2, 1] 
Episode: 382 ,214.8938,0.01571, Action type: [2, 1] 
Episode: 383 ,214.87807,0.01573, Action type: [2, 1] 
Episode: 384 ,214.86226,0.01581, Action type: [2, 1] 
Episode: 385 ,214.84641,0.01585, Action type: [0, 2] 
Episode: 386 ,215.83056,0.01585, Action type: [1, 2] 
Episode: 387 ,216.81473,0.01583, Action type: [1, 2] 
Episode: 388 ,217.79899,0.01574, Action type: [1, 2] 
Episode: 389 ,218.78328,0.01571, Action type: [1, 2] 
Episode: 390 ,219.76761,0.01567, Action type: [1, 0] 
Episode: 391 ,220.75196,0.01565, Action type: [2, 0] 
Episode: 392 ,221.73631,0.01565, Action type: [2, 0] 
Episode: 393 ,222.72066,0.01565, Action type: [2, 0] 
Episode: 394 ,223.70502,0.01564, Action type: [0 2] ,
Episode: 395 ,223.68937,0.01565, Action type: [0, 1] 
Episode: 396 ,223.6737,0.01567, Action type: [0, 2] 
Episode: 397 ,224.65803,0.01567, Action type: [0 2] ,
Episode: 398 ,225.64236,0.01567, Action type: [1, 2] 
Episode: 399 ,226.62671,0.01565, Action type: [1, 0] 
Episode: 400 ,227.6111,0.01561, Action type: [1, 0] 
Episode: 401 ,228.59557,0.01553, Action type: [2, 0] 
Episode: 402 ,229.58004,0.01553, Action type: [1, 0] 
Episode: 403 ,230.56456,0.01548, Action type: [1, 2] 
Episode: 404 ,231.54918,0.01538, Action type: [1, 2] 
Episode: 405 ,232.53382,0.01536, Action type: [1, 0] 
Episode: 406 ,233.5185,0.01532, Action type: [1, 0] 
Episode: 407 ,234.50322,0.01528, Action type: [1, 0] 
Episode: 408 ,235.48798,0.01524, Action type: [1 2] ,
Episode: 409 ,236.47278,0.0152, Action type: [1, 0] 
Episode: 410 ,237.45765,0.01513, Action type: [1, 0] 
Episode: 411 ,238.44257,0.01508, Action type: [2, 0] 
Episode: 412 ,239.4275,0.01507, Action type: [0 1] ,
Episode: 413 ,239.41238,0.01512, Action type: [0, 1] 
Episode: 414 ,239.39719,0.01519, Action type: [0, 1] 
Episode: 415 ,239.38195,0.01524, Action type: [0, 1] 
Episode: 416 ,239.36667,0.01528, Action type: [2, 0] 
Episode: 417 ,240.3514,0.01527, Action type: [1, 0] 
Episode: 418 ,241.33617,0.01523, Action type: [1, 0] 
Episode: 419 ,242.32099,0.01518, Action type: [1, 0] 
Episode: 420 ,243.30588,0.01511, Action type: [0, 1] 
Episode: 421 ,243.2907,0.01518, Action type: [0, 1] 
Episode: 422 ,243.27547,0.01523, Action type: [0, 1] 
Episode: 423 ,243.2602,0.01527, Action type: [0, 1] 
Episode: 424 ,243.24489,0.01531, Action type: [2, 1] 
Episode: 425 ,243.22954,0.01535, Action type: [1, 0] 
Episode: 426 ,244.21423,0.01531, Action type: [1, 0] 
Episode: 427 ,245.19896,0.01527, Action type: [1, 0] 
Episode: 428 ,246.18373,0.01523, Action type: [0, 1] 
Episode: 429 ,246.16846,0.01527, Action type: [0, 1] 
Episode: 430 ,246.15315,0.01531, Action type: [0, 1] 
Episode: 431 ,246.1378,0.01535, Action type: [1, 0] 
Episode: 432 ,247.12249,0.01531, Action type: [1, 0] 
Episode: 433 ,248.10722,0.01527, Action type: [1, 0] 
Episode: 434 ,249.09199,0.01523, Action type: [2, 0] 
Episode: 435 ,250.07676,0.01523, Action type: [2, 1] 
Episode: 436 ,250.06149,0.01527, Action type: [2, 1] 
Episode: 437 ,250.04619,0.0153, Action type: [2, 1] 
Episode: 438 ,250.03087,0.01532, Action type: [0, 1] 
