Episode: 306 , Rewards: 169.2014099999999 , QoS violation: 0.01523 , Action type: 5 
Episode: 307 , Rewards: 170.1861999999999 , QoS violation: 0.01521 , Action type: 5 
Episode: 308 , Rewards: 171.1709899999999 , QoS violation: 0.01521 , Action type: 5 
Episode: 309 , Rewards: 172.1557899999999 , QoS violation: 0.0152 , Action type: 2 
Episode: 310 , Rewards: 173.14060999999992 , QoS violation: 0.01518 , Action type: 2 
Episode: 311 , Rewards: 174.12548999999993 , QoS violation: 0.01512 , Action type: 2 
Episode: 312 , Rewards: 175.11039999999994 , QoS violation: 0.01509 , Action type: 2 
Episode: 313 , Rewards: 176.09534999999994 , QoS violation: 0.01505 , Action type: 2 
Episode: 314 , Rewards: 177.08032999999995 , QoS violation: 0.01502 , Action type: 1 
Episode: 315 , Rewards: 177.06526999999994 , QoS violation: 0.01506 , Action type: 4 
Episode: 316 , Rewards: 177.05017999999995 , QoS violation: 0.01509 , Action type: 3 
Episode: 317 , Rewards: 178.03512999999995 , QoS violation: 0.01505 , Action type: 3 
Episode: 318 , Rewards: 179.02011999999996 , QoS violation: 0.01501 , Action type: 3 
Episode: 319 , Rewards: 180.00514999999996 , QoS violation: 0.01497 , Action type: 3 
