,Rewards,QoS violation,
Episode: 316 ,177.05018,0.01509, Action type: 3 
Episode: 317 ,178.03513,0.01505, Action type: 3 
Episode: 318 ,179.02012,0.01501, Action type: 3 
Episode: 319 ,180.00515,0.01497, Action type: 3 
Episode: 320 ,180.99023,0.01492, Action type: 3 
Episode: 321 ,181.97533,0.0149, Action type: 3 
Episode: 322 ,182.96046,0.01487, Action type: 0 
Episode: 323 ,182.94558,0.01488, Action type: 0 
Episode: 324 ,182.93069,0.01489, Action type: 2 
Episode: 325 ,183.91583,0.01486, Action type: 3 
Episode: 326 ,184.90101,0.01482, Action type: 2 
Episode: 327 ,185.88623,0.01478, Action type: 2 
Episode: 328 ,186.87151,0.01472, Action type: 2 
Episode: 329 ,187.85682,0.01469, Action type: 5 
Episode: 330 ,188.84213,0.01469, Action type: 1 
Episode: 331 ,188.82741,0.01472, Action type: 1 
Episode: 332 ,188.81262,0.01479, Action type: 1 
Episode: 333 ,188.79777,0.01485, Action type: 3 
Episode: 334 ,189.78298,0.01479, Action type: 3 
Episode: 335 ,190.76826,0.01472, Action type: 3 
Episode: 336 ,191.75357,0.01469, Action type: 3 
Episode: 337 ,192.73893,0.01464, Action type: 3 
Episode: 338 ,193.72432,0.01461, Action type: 3 
Episode: 339 ,194.70974,0.01458, Action type: 3 
Episode: 340 ,195.69521,0.01453, Action type: 4 
Episode: 341 ,195.68064,0.01457, Action type: 0 
Episode: 342 ,195.66606,0.01458, Action type: 0 
Episode: 343 ,196.65148,0.01458, Action type: 4 
Episode: 344 ,196.63687,0.01461, Action type: 0 
Episode: 345 ,197.62226,0.01461, Action type: 0 
Episode: 346 ,197.60764,0.01462, Action type: 2 
Episode: 347 ,198.59305,0.01459, Action type: 2 
Episode: 348 ,199.5785,0.01455, Action type: 2 
Episode: 349 ,200.564,0.0145, Action type: 2 
Episode: 350 ,201.54959,0.01441, Action type: 1 
Episode: 351 ,201.53509,0.0145, Action type: 2 
Episode: 352 ,202.52068,0.01441, Action type: 3 
Episode: 353 ,203.5063,0.01438, Action type: 3 
Episode: 354 ,204.49195,0.01435, Action type: 3 
Episode: 355 ,205.47766,0.01429, Action type: 3 
Episode: 356 ,206.46339,0.01427, Action type: 4 
Episode: 357 ,206.44911,0.01428, Action type: 5 
Episode: 358 ,207.43483,0.01428, Action type: 0 
Episode: 359 ,208.42055,0.01428, Action type: 0 
Episode: 360 ,208.40626,0.01429, Action type: 0 
Episode: 361 ,208.39196,0.0143, Action type: 0 
Episode: 362 ,209.37766,0.0143, Action type: 0 
Episode: 363 ,209.36334,0.01432, Action type: 0 
Episode: 364 ,209.349,0.01434, Action type: 0 
Episode: 365 ,209.33465,0.01435, Action type: 0 
Episode: 366 ,209.32028,0.01437, Action type: 0 
Episode: 367 ,209.3059,0.01438, Action type: 2 
Episode: 368 ,210.29154,0.01436, Action type: 2 
Episode: 369 ,211.27723,0.01431, Action type: 2 
Episode: 370 ,212.26294,0.01429, Action type: 3 
Episode: 371 ,213.24868,0.01426, Action type: 2 
Episode: 372 ,214.23443,0.01425, Action type: 0 
Episode: 373 ,215.22018,0.01425, Action type: 0 
Episode: 374 ,215.20592,0.01426, Action type: 0 
Episode: 375 ,215.19165,0.01427, Action type: 0 
Episode: 376 ,216.17738,0.01427, Action type: 0 
Episode: 377 ,217.16311,0.01427, Action type: 0 
Episode: 378 ,217.14882,0.01429, Action type: 0 
Episode: 379 ,218.13453,0.01429, Action type: 0 
Episode: 380 ,219.12024,0.01429, Action type: 2 
Episode: 381 ,220.10601,0.01423, Action type: 2 
Episode: 382 ,221.09179,0.01422, Action type: 2 
Episode: 383 ,222.0776,0.01419, Action type: 2 
Episode: 384 ,223.06344,0.01416, Action type: 0 
Episode: 385 ,223.04927,0.01417, Action type: 0 
Episode: 386 ,223.03509,0.01418, Action type: 2 
Episode: 387 ,224.02093,0.01416, Action type: 0 
Episode: 388 ,225.00677,0.01416, Action type: 0 
Episode: 389 ,225.99261,0.01416, Action type: 0 
Episode: 390 ,225.97844,0.01417, Action type: 0 
Episode: 391 ,225.96425,0.01419, Action type: 2 
Episode: 392 ,225.95005,0.0142, Action type: 2 
Episode: 393 ,226.93587,0.01418, Action type: 2 
Episode: 394 ,227.9217,0.01417, Action type: 2 
Episode: 395 ,228.90757,0.01413, Action type: 0 
Episode: 396 ,228.89343,0.01414, Action type: 0 
Episode: 397 ,229.87929,0.01414, Action type: 0 
Episode: 398 ,229.86514,0.01415, Action type: 2 
