Episode: 214 , Rewards: 120.51876999999998 , QoS violation: 0.01586 , Action type: 2 
Episode: 215 , Rewards: 121.50299999999997 , QoS violation: 0.01577 , Action type: 2 
Episode: 216 , Rewards: 122.48725999999998 , QoS violation: 0.01574 , Action type: 2 
Episode: 217 , Rewards: 123.47154999999998 , QoS violation: 0.01571 , Action type: 2 
Episode: 218 , Rewards: 124.45583999999998 , QoS violation: 0.01571 , Action type: 4 
Episode: 219 , Rewards: 125.44016999999998 , QoS violation: 0.01567 , Action type: 4 
Episode: 220 , Rewards: 126.42453999999998 , QoS violation: 0.01563 , Action type: 4 
Episode: 221 , Rewards: 127.40899999999998 , QoS violation: 0.01554 , Action type: 4 
Episode: 222 , Rewards: 128.39354999999998 , QoS violation: 0.01545 , Action type: 4 
Episode: 223 , Rewards: 129.37812999999997 , QoS violation: 0.01542 , Action type: 1 
Episode: 224 , Rewards: 129.36268999999996 , QoS violation: 0.01544 , Action type: 1 
Episode: 225 , Rewards: 130.34724999999995 , QoS violation: 0.01544 , Action type: 1 
Episode: 226 , Rewards: 131.33180999999993 , QoS violation: 0.01544 , Action type: 1 
Episode: 227 , Rewards: 131.31634999999994 , QoS violation: 0.01546 , Action type: 1 
Episode: 228 , Rewards: 132.30088999999995 , QoS violation: 0.01546 , Action type: 1 
Episode: 229 , Rewards: 133.28542999999996 , QoS violation: 0.01546 , Action type: 2 
Episode: 230 , Rewards: 134.26999999999995 , QoS violation: 0.01543 , Action type: 1 
Episode: 231 , Rewards: 134.25455999999994 , QoS violation: 0.01544 , Action type: 1 
Episode: 232 , Rewards: 135.23911999999993 , QoS violation: 0.01544 , Action type: 1 
Episode: 233 , Rewards: 135.22366999999994 , QoS violation: 0.01545 , Action type: 1 
Episode: 234 , Rewards: 135.20820999999995 , QoS violation: 0.01546 , Action type: 4 
Episode: 235 , Rewards: 136.19277999999994 , QoS violation: 0.01543 , Action type: 4 
Episode: 236 , Rewards: 137.17739999999995 , QoS violation: 0.01538 , Action type: 4 
Episode: 237 , Rewards: 138.16206999999994 , QoS violation: 0.01533 , Action type: 4 
Episode: 238 , Rewards: 139.14680999999993 , QoS violation: 0.01526 , Action type: 4 
Episode: 239 , Rewards: 140.13160999999994 , QoS violation: 0.0152 , Action type: 4 
Episode: 240 , Rewards: 141.11645999999993 , QoS violation: 0.01515 , Action type: 0 
Episode: 241 , Rewards: 141.10125999999994 , QoS violation: 0.0152 , Action type: 0 
Episode: 242 , Rewards: 141.08600999999993 , QoS violation: 0.01525 , Action type: 0 
Episode: 243 , Rewards: 141.07067999999992 , QoS violation: 0.01533 , Action type: 0 
Episode: 244 , Rewards: 141.05529999999993 , QoS violation: 0.01538 , Action type: 1 
Episode: 245 , Rewards: 141.03990999999994 , QoS violation: 0.01539 , Action type: 1 
Episode: 246 , Rewards: 141.02450999999994 , QoS violation: 0.0154 , Action type: 1 
Episode: 247 , Rewards: 141.00908999999993 , QoS violation: 0.01542 , Action type: 1 
Episode: 248 , Rewards: 140.99363999999994 , QoS violation: 0.01545 , Action type: 4 
Episode: 249 , Rewards: 141.97823999999994 , QoS violation: 0.0154 , Action type: 4 
Episode: 250 , Rewards: 142.96291999999994 , QoS violation: 0.01532 , Action type: 4 
Episode: 251 , Rewards: 143.94764999999995 , QoS violation: 0.01527 , Action type: 4 
Episode: 252 , Rewards: 144.93243999999996 , QoS violation: 0.01521 , Action type: 1 
Episode: 253 , Rewards: 144.91721999999996 , QoS violation: 0.01522 , Action type: 1 
Episode: 254 , Rewards: 145.90199999999996 , QoS violation: 0.01522 , Action type: 0 
Episode: 255 , Rewards: 145.88671999999997 , QoS violation: 0.01528 , Action type: 0 
Episode: 256 , Rewards: 145.87138999999996 , QoS violation: 0.01533 , Action type: 0 
Episode: 257 , Rewards: 145.85597999999996 , QoS violation: 0.01541 , Action type: 1 
Episode: 258 , Rewards: 145.84055999999995 , QoS violation: 0.01542 , Action type: 1 
Episode: 259 , Rewards: 146.82513999999995 , QoS violation: 0.01542 , Action type: 1 
Episode: 260 , Rewards: 146.80970999999994 , QoS violation: 0.01543 , Action type: 1 
Episode: 261 , Rewards: 147.79427999999993 , QoS violation: 0.01543 , Action type: 1 
Episode: 262 , Rewards: 148.77884999999992 , QoS violation: 0.01543 , Action type: 4 
Episode: 263 , Rewards: 149.7634999999999 , QoS violation: 0.01535 , Action type: 4 
Episode: 264 , Rewards: 150.7481999999999 , QoS violation: 0.0153 , Action type: 4 
Episode: 265 , Rewards: 151.7329599999999 , QoS violation: 0.01524 , Action type: 0 
Episode: 266 , Rewards: 151.7176599999999 , QoS violation: 0.0153 , Action type: 0 
Episode: 267 , Rewards: 151.7023099999999 , QoS violation: 0.01535 , Action type: 0 
Episode: 268 , Rewards: 151.6868799999999 , QoS violation: 0.01543 , Action type: 0 
Episode: 269 , Rewards: 151.6713999999999 , QoS violation: 0.01548 , Action type: 0 
Episode: 270 , Rewards: 151.65587999999988 , QoS violation: 0.01552 , Action type: 0 
Episode: 271 , Rewards: 151.6403199999999 , QoS violation: 0.01556 , Action type: 0 
Episode: 272 , Rewards: 151.62471999999988 , QoS violation: 0.0156 , Action type: 0 
Episode: 273 , Rewards: 151.6090899999999 , QoS violation: 0.01563 , Action type: 0 
Episode: 274 , Rewards: 151.5933699999999 , QoS violation: 0.01572 , Action type: 4 
Episode: 275 , Rewards: 152.57773999999992 , QoS violation: 0.01563 , Action type: 4 
Episode: 276 , Rewards: 153.5621399999999 , QoS violation: 0.0156 , Action type: 4 
Episode: 277 , Rewards: 154.54657999999992 , QoS violation: 0.01556 , Action type: 4 
Episode: 278 , Rewards: 155.5310599999999 , QoS violation: 0.01552 , Action type: 4 
Episode: 279 , Rewards: 156.51557999999991 , QoS violation: 0.01548 , Action type: 4 
Episode: 280 , Rewards: 157.5001499999999 , QoS violation: 0.01543 , Action type: 3 
Episode: 281 , Rewards: 157.4846699999999 , QoS violation: 0.01548 , Action type: 1 
Episode: 282 , Rewards: 158.4691899999999 , QoS violation: 0.01548 , Action type: 1 
Episode: 283 , Rewards: 158.4536999999999 , QoS violation: 0.01549 , Action type: 1 
Episode: 284 , Rewards: 158.4381999999999 , QoS violation: 0.0155 , Action type: 3 
Episode: 285 , Rewards: 158.4226699999999 , QoS violation: 0.01553 , Action type: 4 
Episode: 286 , Rewards: 159.4071799999999 , QoS violation: 0.01549 , Action type: 4 
Episode: 287 , Rewards: 160.39173999999988 , QoS violation: 0.01544 , Action type: 2 
Episode: 288 , Rewards: 161.3763699999999 , QoS violation: 0.01537 , Action type: 0 
Episode: 289 , Rewards: 161.3609199999999 , QoS violation: 0.01545 , Action type: 4 
Episode: 290 , Rewards: 162.34554999999992 , QoS violation: 0.01537 , Action type: 4 
Episode: 291 , Rewards: 163.33022999999991 , QoS violation: 0.01532 , Action type: 0 
Episode: 292 , Rewards: 163.31485999999992 , QoS violation: 0.01537 , Action type: 0 
Episode: 293 , Rewards: 163.29940999999994 , QoS violation: 0.01545 , Action type: 0 
Episode: 294 , Rewards: 163.28390999999993 , QoS violation: 0.0155 , Action type: 0 
Episode: 295 , Rewards: 163.26837999999992 , QoS violation: 0.01553 , Action type: 1 
Episode: 296 , Rewards: 164.2528499999999 , QoS violation: 0.01553 , Action type: 1 
Episode: 297 , Rewards: 164.23729999999992 , QoS violation: 0.01555 , Action type: 4 
Episode: 298 , Rewards: 165.2217799999999 , QoS violation: 0.01552 , Action type: 4 
Episode: 299 , Rewards: 166.20630999999992 , QoS violation: 0.01547 , Action type: 5 
Episode: 300 , Rewards: 167.19085999999993 , QoS violation: 0.01545 , Action type: 4 
Episode: 301 , Rewards: 168.17548999999994 , QoS violation: 0.01537 , Action type: 0 
Episode: 302 , Rewards: 168.16003999999995 , QoS violation: 0.01545 , Action type: 0 
Episode: 303 , Rewards: 168.14453999999995 , QoS violation: 0.0155 , Action type: 0 
Episode: 304 , Rewards: 168.12900999999994 , QoS violation: 0.01553 , Action type: 0 
Episode: 305 , Rewards: 168.11343999999994 , QoS violation: 0.01557 , Action type: 4 
Episode: 306 , Rewards: 169.09790999999993 , QoS violation: 0.01553 , Action type: 3 
Episode: 307 , Rewards: 169.08233999999993 , QoS violation: 0.01557 , Action type: 3 
Episode: 308 , Rewards: 169.06672999999992 , QoS violation: 0.01561 , Action type: 3 
Episode: 309 , Rewards: 169.05109999999993 , QoS violation: 0.01563 , Action type: 4 
Episode: 310 , Rewards: 170.03549999999993 , QoS violation: 0.0156 , Action type: 2 
Episode: 311 , Rewards: 171.01993999999993 , QoS violation: 0.01556 , Action type: 4 
Episode: 312 , Rewards: 172.00441999999993 , QoS violation: 0.01552 , Action type: 1 
Episode: 313 , Rewards: 171.9888899999999 , QoS violation: 0.01553 , Action type: 1 
Episode: 314 , Rewards: 172.9733599999999 , QoS violation: 0.01553 , Action type: 1 
Episode: 315 , Rewards: 172.9578099999999 , QoS violation: 0.01555 , Action type: 0 
Episode: 316 , Rewards: 172.9422199999999 , QoS violation: 0.01559 , Action type: 0 
Episode: 317 , Rewards: 172.92658999999992 , QoS violation: 0.01563 , Action type: 0 
Episode: 318 , Rewards: 172.91091999999992 , QoS violation: 0.01567 , Action type: 0 
Episode: 319 , Rewards: 172.89515999999992 , QoS violation: 0.01576 , Action type: 0 
Episode: 320 , Rewards: 172.87930999999992 , QoS violation: 0.01585 , Action type: 0 
Episode: 321 , Rewards: 172.8634199999999 , QoS violation: 0.01589 , Action type: 4 
